
Name                      DisplayName                                    InstallState
----                      -----------                                    ------------
ADCS-Cert-Authority       Certification Authority                           Installed
ADCS-Enroll-Web-Pol       Certificate Enrollment Policy Web Service         Installed
ADCS-Enroll-Web-Svc       Certificate Enrollment Web Service                Installed
ADCS-Web-Enrollment       Certification Authority Web Enrollment            Installed
ADCS-Device-Enrollment    Network Device Enrollment Service                 Available
ADCS-Online-Cert          Online Responder                                  Available
AS-NET-Framework          .NET Framework 4.5                                Available
AS-Web-Support            Web Server (IIS) Support                          Available
Web-Application-Proxy     Web Application Proxy                             Available
RDS-Web-Access            Remote Desktop Web Access                         Available
Web-Server                Web Server (IIS)                                  Installed
Web-WebServer             Web Server                                        Installed
Web-Common-Http           Common HTTP Features                              Installed
Web-Default-Doc           Default Document                                  Installed
Web-Dir-Browsing          Directory Browsing                                Installed
Web-Http-Errors           HTTP Errors                                       Installed
Web-Static-Content        Static Content                                    Installed
Web-Http-Redirect         HTTP Redirection                                  Installed
Web-DAV-Publishing        WebDAV Publishing                                 Available
Web-Health                Health and Diagnostics                            Installed
Web-Http-Logging          HTTP Logging                                      Installed
Web-Custom-Logging        Custom Logging                                    Available
Web-Log-Libraries         Logging Tools                                     Installed
Web-ODBC-Logging          ODBC Logging                                      Available
Web-Request-Monitor       Request Monitor                                   Installed
Web-Http-Tracing          Tracing                                           Installed
Web-Performance           Performance                                       Installed
Web-Stat-Compression      Static Content Compression                        Installed
Web-Dyn-Compression       Dynamic Content Compression                       Available
Web-Security              Security                                          Installed
Web-Filtering             Request Filtering                                 Installed
Web-Basic-Auth            Basic Authentication                              Installed
Web-CertProvider          Centralized SSL Certificate Support               Available
Web-Client-Auth           Client Certificate Mapping Authentication         Installed
Web-Digest-Auth           Digest Authentication                             Available
Web-Cert-Auth             IIS Client Certificate Mapping Authentication     Installed
Web-IP-Security           IP and Domain Restrictions                        Installed
Web-Url-Auth              URL Authorization                                 Available
Web-Windows-Auth          Windows Authentication                            Installed
Web-App-Dev               Application Development                           Installed
Web-Net-Ext               .NET Extensibility 3.5                            Available
Web-Net-Ext45             .NET Extensibility 4.5                            Installed
Web-AppInit               Application Initialization                        Available
Web-ASP                   ASP                                               Installed
Web-Asp-Net               ASP.NET 3.5                                       Available
Web-Asp-Net45             ASP.NET 4.5                                       Installed
Web-CGI                   CGI                                               Available
Web-ISAPI-Ext             ISAPI Extensions                                  Installed
Web-ISAPI-Filter          ISAPI Filters                                     Installed
Web-Includes              Server Side Includes                              Installed
Web-WebSockets            WebSocket Protocol                                Available
Web-Ftp-Server            FTP Server                                        Available
Web-Ftp-Service           FTP Service                                       Available
Web-Ftp-Ext               FTP Extensibility                                 Available
Web-Mgmt-Tools            Management Tools                                  Installed
Web-Mgmt-Console          IIS Management Console                            Installed
Web-Mgmt-Compat           IIS 6 Management Compatibility                    Installed
Web-Metabase              IIS 6 Metabase Compatibility                      Installed
Web-Lgcy-Mgmt-Console     IIS 6 Management Console                          Available
Web-Lgcy-Scripting        IIS 6 Scripting Tools                             Available
Web-WMI                   IIS 6 WMI Compatibility                           Available
Web-Scripting-Tools       IIS Management Scripts and Tools                  Installed
Web-Mgmt-Service          Management Service                                Available
NET-Framework-Features    .NET Framework 3.5 Features                       Installed
NET-Framework-Core        .NET Framework 3.5 (includes .NET 2.0 and 3.0)    Installed
NET-Framework-45-Features .NET Framework 4.5 Features                       Installed
NET-Framework-45-Core     .NET Framework 4.5                                Installed
NET-Framework-45-ASPNET   ASP.NET 4.5                                       Installed
BITS-IIS-Ext              IIS Server Extension                              Available
Web-WHC                   IIS Hostable Web Core                             Available
RSAT-ADCS                 Active Directory Certificate Services Tools       Installed
RSAT-ADCS-Mgmt            Certification Authority Management Tools          Installed
WinRM-IIS-Ext             WinRM IIS Extension                               Available



