=== LOCAL MACHINE ROOT ===

Subject                                                                                                                                                                      Issuer                                                                                                                                                                       Thumbprint                               NotBefore            NotAfter            
-------                                                                                                                                                                      ------                                                                                                                                                                       ----------                               ---------            --------            
CN=Microsoft Root Certificate Authority, DC=microsoft, DC=com                                                                                                                CN=Microsoft Root Certificate Authority, DC=microsoft, DC=com                                                                                                                CDD4EEAE6000AC7F40C3802C171E30148030C072 10.05.2001. 01:19:22 10.05.2021. 01:28:13
CN=Symantec Root 2005 CA, O=Symantec Corporation, C=US                                                                                                                       CN=Symantec Root 2005 CA, O=Symantec Corporation, C=US                                                                                                                       C9AB582BF062FF9D702C7666CA2B9AC49552628B 24.08.2005. 02:00:00 24.08.2020. 01:59:59
CN=Thawte Timestamping CA, OU=Thawte Certification, O=Thawte, L=Durbanville, S=Western Cape, C=ZA                                                                            CN=Thawte Timestamping CA, OU=Thawte Certification, O=Thawte, L=Durbanville, S=Western Cape, C=ZA                                                                            BE36A4562FB2EE05DBB3D32323ADF445084ED656 01.01.1997. 01:00:00 01.01.2021. 00:59:59
CN=vodoprivreda-buzet-VPI-SERVER-CA                                                                                                                                          CN=vodoprivreda-buzet-VPI-SERVER-CA                                                                                                                                          B39103348C4F1BB01EED50FE976598FB173C690E 09.06.2019. 19:42:41 01.06.2059. 19:42:41
CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.                                                                                 CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.                                                                                 A43489159A520F0D93D032CCAF37E7FE20A8B419 10.01.1997. 08:00:00 31.12.2020. 08:00:00
CN=Microsoft Root Certificate Authority 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US                                                                         CN=Microsoft Root Certificate Authority 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US                                                                         8F43288AD272F3103B6FB1428485EA3014C0BCFE 22.03.2011. 23:05:28 22.03.2036. 23:13:04
CN=Microsoft Authenticode(tm) Root Authority, O=MSFT, C=US                                                                                                                   CN=Microsoft Authenticode(tm) Root Authority, O=MSFT, C=US                                                                                                                   7F88CD7223F3C813818C994614A89C99FA3B5247 01.01.1995. 09:00:01 01.01.2000. 00:59:59
CN=Symantec Root CA, O=Symantec Corporation                                                                                                                                  CN=Symantec Root CA, O=Symantec Corporation                                                                                                                                  74CDD21C2F1D104F8940DFFE7E6F035756E2F5D0 01.05.2001. 02:00:00 01.05.2011. 01:59:59
CN=VPI-Server.vpi.local                                                                                                                                                      CN=VPI-Server.vpi.local                                                                                                                                                      6C67D3E6789CBB6718D4FBC958BF541FDFB25E92 28.11.2019. 21:08:22 25.11.2029. 21:08:22
CN=VPI-SERVER - ROOT, OU=BE-HRO, O=Symantec Corporation, L=Heathrow, S=Florida, C=US                                                                                         CN=VPI-SERVER - ROOT, OU=BE-HRO, O=Symantec Corporation, L=Heathrow, S=Florida, C=US                                                                                         6BC46EC3D52170299D2E517307C449EFF31E079C 26.06.2019. 19:31:49 30.06.2020. 19:31:49
CN=Veeam Backup Server Certificate                                                                                                                                           CN=Veeam Backup Server Certificate                                                                                                                                           4178245F62FCBCA99F7BB138F916E0E7395CE76C 27.11.2019. 21:24:25 27.11.2029. 21:24:25
CN=Microsoft Root Certificate Authority 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US                                                                         CN=Microsoft Root Certificate Authority 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US                                                                         3B1EFD3A66EA28B16697394703A72CA340A05BD5 23.06.2010. 23:57:24 24.06.2035. 00:04:01
OU=Copyright (c) 1997 Microsoft Corp., OU=Microsoft Time Stamping Service Root, OU=Microsoft Corporation, O=Microsoft Trust Network                                          OU=Copyright (c) 1997 Microsoft Corp., OU=Microsoft Time Stamping Service Root, OU=Microsoft Corporation, O=Microsoft Trust Network                                          245C97DF7514E7CF2DF8BE72AE957B9E04741E85 13.05.1997. 18:12:59 31.12.1999. 00:59:59
CN=vpi-VPI-SERVER-CA-1                                                                                                                                                       CN=vpi-VPI-SERVER-CA-1                                                                                                                                                       239EF8385C60CAC39A6801F620578D0CC6B505A6 18.01.2020. 09:51:41 10.01.2060. 09:51:41
OU="NO LIABILITY ACCEPTED, (c)97 VeriSign, Inc.", OU=VeriSign Time Stamping Service Root, OU="VeriSign, Inc.", O=VeriSign Trust Network                                      OU="NO LIABILITY ACCEPTED, (c)97 VeriSign, Inc.", OU=VeriSign Time Stamping Service Root, OU="VeriSign, Inc.", O=VeriSign Trust Network                                      18F7C1FCC3090203FD5BAA2F861A754976C8DD25 12.05.1997. 02:00:00 08.01.2004. 00:59:59
CN=UTN-USERFirst-Object, OU=http://www.usertrust.com, O=The USERTRUST Network, L=Salt Lake City, S=UT, C=US                                                                  CN=UTN-USERFirst-Object, OU=http://www.usertrust.com, O=The USERTRUST Network, L=Salt Lake City, S=UT, C=US                                                                  E12DFB4B41D7D9C32B30514BAC1D81D8385E2D46 09.07.1999. 20:31:20 09.07.2019. 20:40:36
CN=TWCA Root Certification Authority, OU=Root CA, O=TAIWAN-CA, C=TW                                                                                                          CN=TWCA Root Certification Authority, OU=Root CA, O=TAIWAN-CA, C=TW                                                                                                          DF646DCB7B0FD3A96AEE88C64E2D676711FF9D5F 28.08.2008. 09:47:13 31.12.2030. 16:59:59
CN=DigiCert Global Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US                                                                                                        CN=DigiCert Global Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US                                                                                                        DF3C24F9BFD666761B268073FE06D1CC8D4F82A4 01.08.2013. 14:00:00 15.01.2038. 13:00:00
CN=QuoVadis Root Certification Authority, OU=Root Certification Authority, O=QuoVadis Limited, C=BM                                                                          CN=QuoVadis Root Certification Authority, OU=Root Certification Authority, O=QuoVadis Limited, C=BM                                                                          DE3F40BD5093D39B6C60F6DABC076201008976C9 19.03.2001. 19:33:33 17.03.2021. 19:33:33
CN=GeoTrust Global CA, O=GeoTrust Inc., C=US                                                                                                                                 CN=GeoTrust Global CA, O=GeoTrust Inc., C=US                                                                                                                                 DE28F4A4FFE5B92FA3C503D1A349A7F9962A8212 21.05.2002. 06:00:00 21.05.2022. 06:00:00
CN=DigiCert Trusted Root G4, OU=www.digicert.com, O=DigiCert Inc, C=US                                                                                                       CN=DigiCert Trusted Root G4, OU=www.digicert.com, O=DigiCert Inc, C=US                                                                                                       DDFB16CD4931C973A2037D3FC83A4D7D775D05E4 01.08.2013. 14:00:00 15.01.2038. 13:00:00
CN=DST Root CA X3, O=Digital Signature Trust Co.                                                                                                                             CN=DST Root CA X3, O=Digital Signature Trust Co.                                                                                                                             DAC9024F54D8F6DF94935FB1732638CA6AD77C13 30.09.2000. 23:12:19 30.09.2021. 16:01:15
CN=SwissSign Gold CA - G2, O=SwissSign AG, C=CH                                                                                                                              CN=SwissSign Gold CA - G2, O=SwissSign AG, C=CH                                                                                                                              D8C5388AB7301B1B6ED47AE645253A6F9F1A2761 25.10.2006. 10:30:35 25.10.2036. 10:30:35
CN=GlobalSign, O=GlobalSign, OU=GlobalSign Root CA - R3                                                                                                                      CN=GlobalSign, O=GlobalSign, OU=GlobalSign Root CA - R3                                                                                                                      D69B561148F01C77C54578C10926DF5B856976AD 18.03.2009. 11:00:00 18.03.2029. 11:00:00
CN=Baltimore CyberTrust Root, OU=CyberTrust, O=Baltimore, C=IE                                                                                                               CN=Baltimore CyberTrust Root, OU=CyberTrust, O=Baltimore, C=IE                                                                                                               D4DE20D05E66FC53FE1A50882C78DB2852CAE474 12.05.2000. 20:46:00 13.05.2025. 01:59:00
OU=Equifax Secure Certificate Authority, O=Equifax, C=US                                                                                                                     OU=Equifax Secure Certificate Authority, O=Equifax, C=US                                                                                                                     D23209AD23D314232174E40D7F9D62139786633A 22.08.1998. 18:41:51 22.08.2018. 18:41:51
CN=AAA Certificate Services, O=Comodo CA Limited, L=Salford, S=Greater Manchester, C=GB                                                                                      CN=AAA Certificate Services, O=Comodo CA Limited, L=Salford, S=Greater Manchester, C=GB                                                                                      D1EB23A46D17D68FD92564C2F1F1601764D8E349 01.01.2004. 01:00:00 01.01.2029. 00:59:59
